This data contains example velocities, not measured velocities  
CDP-X       CDP-Y   Time(ms)  Vrms    Vint    Vavg   Depth(m)
 607082.24  6073691.26  949.63 1966.73 2175.00 1962.44  931.80
 607082.24  6073691.26 1115.76 2013.11 2260.00 2006.74 1119.52
 607082.24  6073691.26 1848.00 2174.66 2400.00 2162.57 1998.21
 607282.16  6073696.85   50.00 1500.00 1500.00 1500.00   37.50
 607282.16  6073696.85  829.10 1935.36 1960.00 1932.26  801.01
 607282.16  6073696.85  948.77 1967.20 2175.00 1962.88  931.16
 607282.16  6073696.85 1113.79 2013.27 2260.00 2006.90 1117.63
 607282.16  6073696.85 1848.00 2175.16 2400.00 2163.08 1998.68
 607482.08  6073702.44   50.00 1500.00 1500.00 1500.00   37.50
 607482.08  6073702.44  825.12 1935.24 1960.00 1932.13  797.12
 607482.08  6073702.44  889.33 1953.53 2175.00 1949.66  866.94
 607482.08  6073702.44 1110.94 2018.39 2260.00 2011.57 1117.37
 607482.08  6073702.44 1848.00 2178.62 2400.00 2166.49 2001.84
 607682.00  6073708.02   50.00 1500.00 1500.00 1500.00   37.50
 607682.00  6073708.02  821.65 1935.13 1960.00 1932.01  793.72
 607682.00  6073708.02  889.45 1954.46 2175.00 1950.53  867.45
 607682.00  6073708.02 1108.73 2018.56 2260.00 2011.74 1115.24
 607682.00  6073708.02 1848.00 2179.18 2400.00 2167.06 2002.36
 607881.93  6073713.61   50.00 1500.00 1500.00 1500.00   37.50
 607881.93  6073713.61  815.99 1934.96 1960.00 1931.81  788.17
 607881.93  6073713.61  889.42 1955.90 2175.00 1951.89  868.03
 607881.93  6073713.61 1106.78 2019.23 2260.00 2012.40 1113.64
 607881.93  6073713.61 1848.00 2179.96 2400.00 2167.86 2003.11
 608081.85  6073719.20   50.00 1500.00 1500.00 1500.00   37.50
 608081.85  6073719.20  810.02 1934.78 1960.00 1931.61  782.32
 608081.85  6073719.20  889.25 1957.37 2175.00 1953.29  868.48
 608081.85  6073719.20 1107.16 2020.52 2260.00 2013.66 1114.72
 608081.85  6073719.20 1848.00 2180.60 2400.00 2168.54 2003.73
 608281.77  6073724.79   50.00 1500.00 1500.00 1500.00   37.50
 608281.77  6073724.79  804.92 1934.61 1960.00 1931.43  777.32
 608281.77  6073724.79  888.23 1958.41 2175.00 1954.27  867.92
 608281.77  6073724.79 1104.94 2021.11 2260.00 2014.23 1112.80
 608281.77  6073724.79 1848.00 2181.39 2400.00 2169.35 2004.48
 608481.69  6073730.37   50.00 1500.00 1500.00 1500.00   37.50
 608481.69  6073730.37  799.74 1934.45 1960.00 1931.24  772.25
 608481.69  6073730.37  887.58 1959.57 2175.00 1955.36  867.77
 608481.69  6073730.37 1102.51 2021.64 2260.00 2014.75 1110.64
 608481.69  6073730.37 1848.00 2182.18 2400.00 2170.16 2005.23
 608681.61  6073735.96   50.00 1500.00 1500.00 1500.00   37.50
 608681.61  6073735.96  794.59 1934.28 1960.00 1931.05  767.20
 608681.61  6073735.96  802.07 1936.67 2175.00 1933.33  775.33
 608681.61  6073735.96 1099.30 2029.18 2260.00 2021.65 1111.20
 608681.61  6073735.96 1848.00 2187.00 2400.00 2174.94 2009.64
 608881.54  6073741.55   50.00 1500.00 1500.00 1500.00   37.50
 608881.54  6073741.55  789.33 1934.11 1960.00 1930.86  762.04
 608881.54  6073741.55  801.65 1938.04 2175.00 1934.61  775.45
 608881.54  6073741.55 1095.98 2029.52 2260.00 2022.00 1108.04
 608881.54  6073741.55 1848.00 2187.87 2400.00 2175.82 2010.46
 609081.46  6073747.14   50.00 1500.00 1500.00 1500.00   37.50
 609081.46  6073747.14  783.80 1933.93 1960.00 1930.66  756.62
 609081.46  6073747.14  800.95 1939.40 2175.00 1935.89  775.28
 609081.46  6073747.14 1093.71 2030.19 2260.00 2022.64 1106.09
 609081.46  6073747.14 1848.00 2188.69 2400.00 2176.67 2011.24
 609281.38  6073752.72   50.00 1500.00 1500.00 1500.00   37.50
 609281.38  6073752.72  778.07 1933.73 1960.00 1930.44  751.01
 609281.38  6073752.72  799.90 1940.71 2175.00 1937.11  774.74
 609281.38  6073752.72 1092.22 2031.09 2260.00 2023.53 1105.07
 609281.38  6073752.72 1848.00 2189.49 2400.00 2177.50 2012.01
 609481.30  6073758.31   50.00 1500.00 1500.00 1500.00   37.50
 609481.30  6073758.31  772.40 1933.54 1960.00 1930.22  745.45
 609481.30  6073758.31  730.85 1918.90 2175.00 1916.30  700.26
 609481.30  6073758.31 1090.68 2037.75 2260.00 2029.70 1106.87
 609481.30  6073758.31 1848.00 2193.45 2400.00 2181.45 2015.66
 609681.22  6073763.90   50.00 1500.00 1500.00 1500.00   37.50
 609681.22  6073763.90  766.88 1933.35 1960.00 1930.01  740.04
 609681.22  6073763.90  730.61 1920.56 2175.00 1917.85  700.60
 609681.22  6073763.90 1089.88 2038.71 2260.00 2030.64 1106.58
 609681.22  6073763.90 1848.00 2194.13 2400.00 2182.16 2016.32
 609881.15  6073769.49   50.00 1500.00 1500.00 1500.00   37.50
 609881.15  6073769.49  760.86 1933.13 1960.00 1929.77  734.14
 609881.15  6073769.49  729.57 1922.08 2175.00 1919.26  700.12
 609881.15  6073769.49 1087.37 2039.46 2260.00 2031.38 1104.43
 609881.15  6073769.49 1848.00 2195.04 2400.00 2183.10 2017.18
 610081.07  6073775.07   50.00 1500.00 1500.00 1500.00   37.50
 610081.07  6073775.07  754.39 1932.90 1960.00 1929.51  727.80
 610081.07  6073775.07  727.93 1923.53 2175.00 1920.59  699.03
 610081.07  6073775.07 1082.82 2039.93 2260.00 2031.83 1100.06
 610081.07  6073775.07 1848.00 2196.19 2400.00 2184.27 2018.27
 610280.99  6073780.66   50.00 1500.00 1500.00 1500.00   37.50
 610280.99  6073780.66  749.10 1932.71 1960.00 1929.30  722.62
 610280.99  6073780.66  638.78 1887.72 2175.00 1886.86  602.64
 610280.99  6073780.66 1079.40 2047.88 2260.00 2039.18 1100.54
 610280.99  6073780.66 1848.00 2201.18 2400.00 2189.25 2022.87
 610480.91  6073786.25   50.00 1500.00 1500.00 1500.00   37.50
 610480.91  6073786.25  741.69 1932.43 1960.00 1928.99  715.36
 610480.91  6073786.25  638.67 1890.40 2175.00 1889.31  603.33
 610480.91  6073786.25 1078.07 2049.10 2260.00 2040.39 1099.85
 610480.91  6073786.25 1848.00 2202.10 2400.00 2190.22 2023.76
 610680.83  6073791.84   50.00 1500.00 1500.00 1500.00   37.50
 610680.83  6073791.84  733.80 1932.14 1960.00 1928.66  707.63
 610680.83  6073791.84  638.45 1893.19 2175.00 1891.87  603.93
 610680.83  6073791.84 1077.11 2050.51 2260.00 2041.79 1099.61
 610680.83  6073791.84 1848.00 2203.05 2400.00 2191.22 2024.68
 610880.76  6073797.42   50.00 1500.00 1500.00 1500.00   37.50
 610880.76  6073797.42  730.01 1931.99 1960.00 1928.49  703.91
 610880.76  6073797.42  638.12 1894.43 2175.00 1893.00  603.98
 610880.76  6073797.42 1075.86 2051.05 2260.00 2042.32 1098.63
 610880.76  6073797.42 1848.00 2203.58 2400.00 2191.77 2025.19
 611080.68  6073803.01   50.00 1500.00 1500.00 1500.00   37.50
 611080.68  6073803.01  723.91 1931.75 1960.00 1928.23  697.93
 611080.68  6073803.01  613.60 1884.70 2175.00 1883.87  577.97
 611080.68  6073803.01 1075.77 2054.35 2260.00 2045.46 1100.23
 611080.68  6073803.01 1848.00 2205.39 2400.00 2193.61 2026.90
 611280.60  6073808.60   50.00 1500.00 1500.00 1500.00   37.50
 611280.60  6073808.60  719.54 1931.58 1960.00 1928.04  693.65
 611280.60  6073808.60  613.50 1886.32 2175.00 1885.35  578.33
 611280.60  6073808.60 1075.03 2055.09 2260.00 2046.19 1099.86
 611280.60  6073808.60 1848.00 2205.93 2400.00 2194.18 2027.42
 611480.52  6073814.19   50.00 1500.00 1500.00 1500.00   37.50
 611480.52  6073814.19  714.60 1931.38 1960.00 1927.81  688.81
 611480.52  6073814.19  613.29 1888.11 2175.00 1886.98  578.63
 611480.52  6073814.19 1073.15 2055.73 2260.00 2046.83 1098.28
 611480.52  6073814.19 1848.00 2206.63 2400.00 2194.91 2028.10
 611680.44  6073819.77   50.00 1500.00 1500.00 1500.00   37.50
 611680.44  6073819.77  710.54 1931.22 1960.00 1927.63  684.83
 611680.44  6073819.77  612.96 1889.51 2175.00 1888.25  578.71
 611680.44  6073819.77 1071.40 2056.22 2260.00 2047.32 1096.74
 611680.44  6073819.77 1848.00 2207.22 2400.00 2195.53 2028.67
 611880.37  6073825.36   50.00 1500.00 1500.00 1500.00   37.50
 611880.37  6073825.36  706.59 1931.06 1960.00 1927.45  680.96
 611880.37  6073825.36  546.00 1853.21 2175.00 1854.64  506.32
 611880.37  6073825.36 1070.57 2062.58 2260.00 2053.26 1099.08
 611880.37  6073825.36 1848.00 2210.81 2400.00 2199.13 2032.00
 612080.29  6073830.95   50.00 1500.00 1500.00 1500.00   37.50
 612080.29  6073830.95  702.41 1930.88 1960.00 1927.26  676.86
 612080.29  6073830.95  545.94 1855.01 2175.00 1856.25  506.71
 612080.29  6073830.95 1069.35 2063.19 2260.00 2053.87 1098.16
 612080.29  6073830.95 1848.00 2211.37 2400.00 2199.71 2032.53
 612280.21  6073836.54   50.00 1500.00 1500.00 1500.00   37.50
 612280.21  6073836.54  697.40 1930.67 1960.00 1927.02  671.95
 612280.21  6073836.54  545.90 1857.17 2175.00 1858.20  507.20
 612280.21  6073836.54 1068.45 2064.03 2260.00 2054.71 1097.68
 612280.21  6073836.54 1848.00 2211.99 2400.00 2200.36 2033.14
 612480.13  6073842.12   50.00 1500.00 1500.00 1500.00   37.50
 612480.13  6073842.12  693.17 1930.49 1960.00 1926.82  667.81
 612480.13  6073842.12  545.86 1859.00 2175.00 1859.84  507.60
 612480.13  6073842.12 1067.44 2064.69 2260.00 2055.37 1097.00
 612480.13  6073842.12 1848.00 2212.53 2400.00 2200.94 2033.66
 612680.05  6073847.71   50.00 1500.00 1500.00 1500.00   37.50
 612680.05  6073847.71  690.56 1930.38 1960.00 1926.69  665.25
 612680.05  6073847.71 1025.95 2013.62 2175.00 2007.87 1029.99
 612680.05  6073847.71 1067.82 2023.84 2260.00 2017.75 1077.30
 612680.05  6073847.71 1848.00 2190.54 2400.00 2179.13 2013.51
 612879.98  6073853.30   50.00 1500.00 1500.00 1500.00   37.50
 612879.98  6073853.30  689.69 1930.34 1960.00 1926.65  664.39
 612879.98  6073853.30 1025.40 2013.72 2175.00 2007.96 1029.48
 612879.98  6073853.30 1067.77 2024.06 2260.00 2017.96 1077.36
 612879.98  6073853.30 1848.00 2190.67 2400.00 2179.26 2013.64
 613079.90  6073858.89   50.00 1500.00 1500.00 1500.00   37.50
 613079.90  6073858.89  687.71 1930.25 1960.00 1926.56  662.45
 613079.90  6073858.89 1024.74 2014.03 2175.00 2008.27 1028.97
 613079.90  6073858.89 1066.77 2024.29 2260.00 2018.19 1076.47
 613079.90  6073858.89 1848.00 2191.00 2400.00 2179.60 2013.95
 613279.82  6073864.47   50.00 1500.00 1500.00 1500.00   37.50
 613279.82  6073864.47  685.70 1930.17 1960.00 1926.46  660.49
 613279.82  6073864.47 1023.31 2014.23 2175.00 2008.46 1027.64
 613279.82  6073864.47 1064.78 2024.36 2260.00 2018.25 1074.50
 613279.82  6073864.47 1848.00 2191.44 2400.00 2180.05 2014.36
 613479.74  6073870.06   50.00 1500.00 1500.00 1500.00   37.50
 613479.74  6073870.06  682.20 1930.01 1960.00 1926.29  657.06
 613479.74  6073870.06 1022.59 2014.87 2175.00 2009.07 1027.23
 613479.74  6073870.06 1062.22 2024.55 2260.00 2018.44 1072.02
 613479.74  6073870.06 1848.00 2192.07 2400.00 2180.68 2014.95
 613679.66  6073875.65   50.00 1500.00 1500.00 1500.00   37.50
 613679.66  6073875.65  678.79 1929.86 1960.00 1926.12  653.71
 613679.66  6073875.65  964.92 2005.68 2175.00 1999.92  964.88
 613679.66  6073875.65 1059.03 2029.57 2260.00 2023.03 1071.23
 613679.66  6073875.65 1848.00 2195.38 2400.00 2183.97 2017.99
 613879.59  6073881.24   50.00 1500.00 1500.00 1500.00   37.50
 613879.59  6073881.24  676.24 1929.75 1960.00 1925.99  651.22
 613879.59  6073881.24  964.73 2006.23 2175.00 2000.45  964.94
 613879.59  6073881.24 1057.08 2029.67 2260.00 2023.13 1069.31
 613879.59  6073881.24 1848.00 2195.82 2400.00 2184.42 2018.41
 614079.51  6073886.82   50.00 1500.00 1500.00 1500.00   37.50
 614079.51  6073886.82  673.44 1929.62 1960.00 1925.85  648.47
 614079.51  6073886.82  964.28 2006.79 2175.00 2000.99  964.76
 614079.51  6073886.82 1056.17 2030.08 2260.00 2023.53 1068.59
 614079.51  6073886.82 1848.00 2196.22 2400.00 2184.84 2018.79
 614279.43  6073892.41   50.00 1500.00 1500.00 1500.00   37.50
 614279.43  6073892.41  671.37 1929.53 1960.00 1925.74  646.45
 614279.43  6073892.41  963.58 2007.14 2175.00 2001.33  964.22
 614279.43  6073892.41 1054.24 2030.12 2260.00 2023.57 1066.67
 614279.43  6073892.41 1848.00 2196.64 2400.00 2185.26 2019.18
 614479.35  6073898.00   50.00 1500.00 1500.00 1500.00   37.50
 614479.35  6073898.00  666.22 1929.29 1960.00 1925.48  641.39
 614479.35  6073898.00  950.35 2005.91 2175.00 2000.08  950.39
 614479.35  6073898.00 1051.82 2031.80 2260.00 2025.15 1065.05
 614479.35  6073898.00 1848.00 2198.01 2400.00 2186.65 2020.46
 614679.27  6073903.59   50.00 1500.00 1500.00 1500.00   37.50
 614679.27  6073903.59  661.29 1929.06 1960.00 1925.22  636.56
 614679.27  6073903.59  951.99 2007.36 2175.00 2001.49  952.70
 614679.27  6073903.59 1050.19 2032.31 2260.00 2025.67 1063.67
 614679.27  6073903.59 1848.00 2198.60 2400.00 2187.27 2021.04
 614879.20  6073909.17   50.00 1500.00 1500.00 1500.00   37.50
 614879.20  6073909.17  656.67 1928.84 1960.00 1924.97  632.04
 614879.20  6073909.17  953.76 2008.75 2175.00 2002.86  955.13
 614879.20  6073909.17 1049.95 2033.06 2260.00 2026.41 1063.82
 614879.20  6073909.17 1848.00 2199.05 2400.00 2187.74 2021.48
 615079.12  6073914.76   50.00 1500.00 1500.00 1500.00   37.50
 615079.12  6073914.76  652.11 1928.62 1960.00 1924.73  627.56
 615079.12  6073914.76  951.77 2009.45 2175.00 2003.53  953.45
 615079.12  6073914.76 1048.95 2033.96 2260.00 2027.29 1063.26
 615079.12  6073914.76 1848.00 2199.72 2400.00 2188.44 2022.12
 615279.04  6073920.35   50.00 1500.00 1500.00 1500.00   37.50
 615279.04  6073920.35  648.91 1928.46 1960.00 1924.56  624.43
 615279.04  6073920.35  949.15 2009.72 2175.00 2003.78  950.94
 615279.04  6073920.35 1048.36 2034.72 2260.00 2028.02 1063.05
 615279.04  6073920.35 1848.00 2200.24 2400.00 2188.98 2022.62
 615478.96  6073925.94   50.00 1500.00 1500.00 1500.00   37.50
 615478.96  6073925.94  641.77 1928.11 1960.00 1924.16  617.44
 615478.96  6073925.94  948.11 2011.20 2175.00 2005.21  950.58
 615478.96  6073925.94 1046.92 2035.98 2260.00 2029.26 1062.23
 615478.96  6073925.94 1848.00 2201.18 2400.00 2189.97 2023.53
 615678.88  6073931.52   50.00 1500.00 1500.00 1500.00   37.50
 615678.88  6073931.52  638.14 1927.92 1960.00 1923.96  613.88
 615678.88  6073931.52  889.30 2000.80 2175.00 1994.86  887.01
 615678.88  6073931.52 1045.70 2041.66 2260.00 2034.51 1063.74
 615678.88  6073931.52 1848.00 2204.40 2400.00 2193.19 2026.51
 615878.81  6073937.11   50.00 1500.00 1500.00 1500.00   37.50
 615878.81  6073937.11  636.13 1927.82 1960.00 1923.84  611.91
 615878.81  6073937.11  889.45 2001.33 2175.00 1995.37  887.40
 615878.81  6073937.11 1043.92 2041.67 2260.00 2034.53 1061.94
 615878.81  6073937.11 1848.00 2204.75 2400.00 2193.55 2026.84
 616078.73  6073942.70   50.00 1500.00 1500.00 1500.00   37.50
 616078.73  6073942.70  633.52 1927.69 1960.00 1923.69  609.35
 616078.73  6073942.70  889.43 2001.98 2175.00 1996.00  887.65
 616078.73  6073942.70 1040.19 2041.40 2260.00 2034.26 1058.01
 616078.73  6073942.70 1848.00 2205.34 2400.00 2194.14 2027.38
 616278.65  6073948.29   50.00 1500.00 1500.00 1500.00   37.50
 616278.65  6073948.29  630.50 1927.53 1960.00 1923.52  606.39
 616278.65  6073948.29  889.26 2002.70 2175.00 1996.70  887.79
 616278.65  6073948.29 1036.20 2041.16 2260.00 2034.04 1053.84
 616278.65  6073948.29 1848.00 2205.99 2400.00 2194.80 2027.99
 616478.57  6073953.87   50.00 1500.00 1500.00 1500.00   37.50
 616478.57  6073953.87  627.68 1927.39 1960.00 1923.36  603.63
 616478.57  6073953.87  888.88 2003.33 2175.00 1997.30  887.68
 616478.57  6073953.87 1033.93 2041.28 2260.00 2034.16 1051.59
 616478.57  6073953.87 1848.00 2206.50 2400.00 2195.32 2028.47
 616678.49  6073959.46   50.00 1500.00 1500.00 1500.00   37.50
 616678.49  6073959.46  624.99 1927.24 1960.00 1923.20  600.99
 616678.49  6073959.46  887.75 2003.77 2175.00 1997.73  886.74
 616678.49  6073959.46 1028.83 2040.81 2260.00 2033.69 1046.17
 616678.49  6073959.46 1848.00 2207.25 2400.00 2196.07 2029.17
 616878.42  6073965.05   50.00 1500.00 1500.00 1500.00   37.50
 616878.42  6073965.05  621.89 1927.08 1960.00 1923.02  597.95
 616878.42  6073965.05  887.03 2004.40 2175.00 1998.34  886.29
 616878.42  6073965.05 1025.64 2040.82 2260.00 2033.70 1042.93
 616878.42  6073965.05 1848.00 2207.88 2400.00 2196.70 2029.75
 617078.34  6073970.64   50.00 1500.00 1500.00 1500.00   37.50
 617078.34  6073970.64  618.77 1926.91 1960.00 1922.83  594.90
 617078.34  6073970.64  855.97 1998.75 2175.00 1992.71  852.85
 617078.34  6073970.64 1021.74 2043.40 2260.00 2036.07 1040.17
 617078.34  6073970.64 1848.00 2209.97 2400.00 2198.79 2031.68
 617278.26  6073976.22   50.00 1500.00 1500.00 1500.00   37.50
 617278.26  6073976.22  615.74 1926.75 1960.00 1922.65  591.93
 617278.26  6073976.22  855.73 1999.48 2175.00 1993.42  852.91
 617278.26  6073976.22 1019.64 2043.60 2260.00 2036.27 1038.14
 617278.26  6073976.22 1848.00 2210.47 2400.00 2199.31 2032.16
 617478.18  6073981.81   50.00 1500.00 1500.00 1500.00   37.50
 617478.18  6073981.81  611.96 1926.54 1960.00 1922.42  588.22
 617478.18  6073981.81  855.18 2000.35 2175.00 1994.25  852.72
 617478.18  6073981.81 1018.68 2044.24 2260.00 2036.91 1037.47
 617478.18  6073981.81 1848.00 2210.99 2400.00 2199.85 2032.66
 617678.10  6073987.40   50.00 1500.00 1500.00 1500.00   37.50
 617678.10  6073987.40  608.12 1926.33 1960.00 1922.18  584.46
 617678.10  6073987.40  854.33 2001.17 2175.00 1995.04  852.22
 617678.10  6073987.40 1016.46 2044.65 2260.00 2037.30 1035.42
 617678.10  6073987.40 1848.00 2211.62 2400.00 2200.50 2033.27
 617878.03  6073992.99   50.00 1500.00 1500.00 1500.00   37.50
 617878.03  6073992.99  604.91 1926.15 1960.00 1921.98  581.31
 617878.03  6073992.99  802.52 1990.31 2175.00 1984.28  796.21
 617878.03  6073992.99 1015.49 2049.82 2260.00 2042.11 1036.87
 617878.03  6073992.99 1848.00 2214.44 2400.00 2203.33 2035.88
 618077.95  6073998.57   50.00 1500.00 1500.00 1500.00   37.50
 618077.95  6073998.57  601.87 1925.97 1960.00 1921.79  578.33
 618077.95  6073998.57  803.26 1991.34 2175.00 1985.27  797.35
 618077.95  6073998.57 1014.15 2050.11 2260.00 2042.40 1035.65
 618077.95  6073998.57 1848.00 2214.84 2400.00 2203.76 2036.27
 618277.87  6074004.16   50.00 1500.00 1500.00 1500.00   37.50
 618277.87  6074004.16  598.97 1925.81 1960.00 1921.60  575.49
 618277.87  6074004.16  803.89 1992.29 2175.00 1986.20  798.34
 618277.87  6074004.16 1010.86 2049.95 2260.00 2042.26 1032.21
 618277.87  6074004.16 1848.00 2215.39 2400.00 2204.31 2036.79
 618477.79  6074009.75   50.00 1500.00 1500.00 1500.00   37.50
 618477.79  6074009.75  596.21 1925.65 1960.00 1921.42  572.79
 618477.79  6074009.75  802.82 1992.80 2175.00 1986.68  797.48
 618477.79  6074009.75 1007.10 2049.82 2260.00 2042.12 1028.32
 618477.79  6074009.75 1848.00 2216.03 2400.00 2204.97 2037.39
 618677.72  6074015.34   50.00 1500.00 1500.00 1500.00   37.50
 618677.72  6074015.34  593.29 1925.48 1960.00 1921.23  569.92
 618677.72  6074015.34  800.34 1993.03 2175.00 1986.88  795.09
 618677.72  6074015.34 1001.67 2049.48 2260.00 2041.78 1022.60
 618677.72  6074015.34 1848.00 2216.90 2400.00 2205.83 2038.19
 618877.64  6074020.92   50.00 1500.00 1500.00 1500.00   37.50
 618877.64  6074020.92  590.15 1925.29 1960.00 1921.03  566.85
 618877.64  6074020.92  799.01 1993.59 2175.00 1987.42  793.99
 618877.64  6074020.92  999.08 2049.71 2260.00 2042.00 1020.06
 618877.64  6074020.92 1848.00 2217.51 2400.00 2206.46 2038.77
 619077.56  6074026.51   50.00 1500.00 1500.00 1500.00   37.50
 619077.56  6074026.51  587.02 1925.11 1960.00 1920.82  563.78
 619077.56  6074026.51  731.13 1976.86 2175.00 1970.92  720.50
 619077.56  6074026.51  996.64 2056.11 2260.00 2047.93 1020.53
 619077.56  6074026.51 1848.00 2221.16 2400.00 2210.13 2042.16
 619277.48  6074032.10   50.00 1500.00 1500.00 1500.00   37.50
 619277.48  6074032.10  583.98 1924.92 1960.00 1920.61  560.80
 619277.48  6074032.10  733.98 1978.60 2175.00 1972.60  723.93
 619277.48  6074032.10  993.90 2055.91 2260.00 2047.76 1017.64
 619277.48  6074032.10 1848.00 2221.58 2400.00 2210.56 2042.56
 619477.40  6074037.68   50.00 1500.00 1500.00 1500.00   37.50
 619477.40  6074037.68  581.10 1924.75 1960.00 1920.42  557.98
 619477.40  6074037.68  736.67 1980.23 2175.00 1974.18  727.16
 619477.40  6074037.68  991.00 2055.67 2260.00 2047.53 1014.55
 619477.40  6074037.68 1848.00 2221.99 2400.00 2210.99 2042.95
 619677.33  6074043.27   50.00 1500.00 1500.00 1500.00   37.50
 619677.33  6074043.27  578.36 1924.58 1960.00 1920.23  555.29
 619677.33  6074043.27  733.50 1980.19 2175.00 1974.12  724.01
 619677.33  6074043.27  987.91 2055.89 2260.00 2047.74 1011.49
 619677.33  6074043.27 1848.00 2222.68 2400.00 2211.69 2043.60
 619877.25  6074048.86   50.00 1500.00 1500.00 1500.00   37.50
 619877.25  6074048.86  576.16 1924.44 1960.00 1920.08  553.14
 619877.25  6074048.86  728.72 1979.52 2175.00 1973.45  719.04
 619877.25  6074048.86  987.36 2056.70 2260.00 2048.51 1011.31
 619877.25  6074048.86 1848.00 2223.18 2400.00 2212.20 2044.08
 620077.17  6074054.45   50.00 1500.00 1500.00 1500.00   37.50
 620077.17  6074054.45  575.16 1924.38 1960.00 1920.01  552.16
 620077.17  6074054.45  726.71 1979.26 2175.00 1973.19  716.97
 620077.17  6074054.45  983.18 2056.20 2260.00 2048.01 1006.78
 620077.17  6074054.45 1848.00 2223.71 2400.00 2212.73 2044.56
 620277.09  6074060.03   50.00 1500.00 1500.00 1500.00   37.50
 620277.09  6074060.03  573.49 1924.28 1960.00 1919.89  550.52
 620277.09  6074060.03  638.89 1951.42 2175.00 1946.01  621.64
 620277.09  6074060.03  980.33 2064.14 2260.00 2055.37 1007.47
 620277.09  6074060.03 1848.00 2228.15 2400.00 2217.18 2048.67
 620477.01  6074065.62   50.00 1500.00 1500.00 1500.00   37.50
 620477.01  6074065.62  571.04 1924.12 1960.00 1919.72  548.12
 620477.01  6074065.62  639.26 1952.43 2175.00 1946.96  622.31
 620477.01  6074065.62  976.05 2063.75 2260.00 2054.98 1002.89
 620477.01  6074065.62 1848.00 2228.73 2400.00 2217.77 2049.22
 620676.94  6074071.21   50.00 1500.00 1500.00 1500.00   37.50
 620676.94  6074071.21  569.96 1924.05 1960.00 1919.65  547.06
 620676.94  6074071.21  639.56 1952.93 2175.00 1947.44  622.75
 620676.94  6074071.21  972.33 2063.17 2260.00 2054.41  998.78
 620676.94  6074071.21 1848.00 2229.13 2400.00 2218.17 2049.59
 620876.86  6074076.80   50.00 1500.00 1500.00 1500.00   37.50
 620876.86  6074076.80  567.83 1923.92 1960.00 1919.50  544.97
 620876.86  6074076.80  639.14 1953.53 2175.00 1948.00  622.52
 620876.86  6074076.80  969.76 2063.13 2260.00 2054.37  996.12
 620876.86  6074076.80 1848.00 2229.58 2400.00 2218.63 2050.01
 621076.78  6074082.38   50.00 1500.00 1500.00 1500.00   37.50
 621076.78  6074082.38  564.53 1923.70 1960.00 1919.26  541.74
 621076.78  6074082.38  638.27 1954.39 2175.00 1948.80  621.93
 621076.78  6074082.38  963.16 2062.54 2260.00 2053.78  989.06
 621076.78  6074082.38 1848.00 2230.50 2400.00 2219.55 2050.87
 621276.70  6074087.97   50.00 1500.00 1500.00 1500.00   37.50
 621276.70  6074087.97  562.01 1923.54 1960.00 1919.08  539.27
